stock_id,name,exchange,status,ipo_date,out_date
600000,样本股票001,上海证券交易所,正常,2024-01-01,
600001,样本股票002,上海证券交易所,正常,2024-01-01,
600002,样本股票003,上海证券交易所,正常,2024-01-01,
600003,样本股票004,上海证券交易所,正常,2024-01-01,
600004,样本股票005,上海证券交易所,正常,2024-01-01,
600005,样本股票006,上海证券交易所,正常,2024-01-01,
600006,样本股票007,上海证券交易所,正常,2024-01-01,
600007,样本股票008,上海证券交易所,正常,2024-01-01,
600008,样本股票009,上海证券交易所,正常,2024-01-01,
600009,样本股票010,上海证券交易所,正常,2024-01-01,
600010,样本股票011,上海证券交易所,正常,2024-01-01,
600011,样本股票012,上海证券交易所,正常,2024-01-01,
600012,样本股票013,上海证券交易所,正常,2024-01-01,
600013,样本股票014,上海证券交易所,正常,2024-01-01,
600014,样本股票015,上海证券交易所,正常,2024-01-01,
600015,样本股票016,上海证券交易所,正常,2024-01-01,
600016,样本股票017,上海证券交易所,正常,2024-01-01,
600017,样本股票018,上海证券交易所,正常,2024-01-01,
600018,样本股票019,上海证券交易所,正常,2024-01-01,
600019,样本股票020,上海证券交易所,正常,2024-01-01,
600020,样本股票021,上海证券交易所,正常,2024-01-01,
600021,样本股票022,上海证券交易所,正常,2024-01-01,
600022,样本股票023,上海证券交易所,正常,2024-01-01,
600023,样本股票024,上海证券交易所,正常,2024-01-01,
600024,样本股票025,上海证券交易所,正常,2024-01-01,
600025,样本股票026,上海证券交易所,正常,2024-01-01,
600026,样本股票027,上海证券交易所,正常,2024-01-01,
600027,样本股票028,上海证券交易所,正常,2024-01-01,
600028,样本股票029,上海证券交易所,正常,2024-01-01,
600029,样本股票030,上海证券交易所,正常,2024-01-01,
600030,样本股票031,上海证券交易所,正常,2024-01-01,
600031,样本股票032,上海证券交易所,正常,2024-01-01,
600032,样本股票033,上海证券交易所,正常,2024-01-01,
600033,样本股票034,上海证券交易所,正常,2024-01-01,
600034,样本股票035,上海证券交易所,正常,2024-01-01,
600035,样本股票036,上海证券交易所,正常,2024-01-01,
600036,样本股票037,上海证券交易所,正常,2024-01-01,
600037,样本股票038,上海证券交易所,正常,2024-01-01,
600038,样本股票039,上海证券交易所,正常,2024-01-01,
