stock_id,index_code,start_date,end_date
600000,CSI300,2024-01-01,
600001,CSI300,2024-01-01,
600002,CSI300,2024-01-01,
600003,CSI300,2024-01-01,
600004,CSI300,2024-01-01,
600005,CSI300,2024-01-01,
600006,CSI300,2024-01-01,
600007,CSI300,2024-01-01,
600008,CSI300,2024-01-01,
600009,CSI300,2024-01-01,
600010,CSI300,2024-01-01,
600011,CSI300,2024-01-01,
600012,CSI300,2024-01-01,
600013,CSI300,2024-01-01,
600014,CSI300,2024-01-01,
600015,CSI300,2024-01-01,
600016,CSI300,2024-01-01,
600017,CSI300,2024-01-01,
600018,CSI300,2024-01-01,
600019,CSI300,2024-01-01,
600020,CSI300,2024-01-01,
600021,CSI300,2024-01-01,
600022,CSI300,2024-01-01,
600023,CSI300,2024-01-01,
600024,CSI300,2024-01-01,
600025,CSI300,2024-01-01,
600026,CSI300,2024-01-01,
600027,CSI300,2024-01-01,
600028,CSI300,2024-01-01,
600029,CSI300,2024-01-01,
600030,CSI300,2024-01-01,
600031,CSI300,2024-01-01,
600032,CSI300,2024-01-01,
600033,CSI300,2024-01-01,
600034,CSI300,2024-01-01,
600035,CSI300,2024-01-01,
600036,CSI300,2024-01-01,
600037,CSI300,2024-01-01,
600038,CSI300,2024-01-01,
600039,CSI300,2024-01-01,
600040,CSI300,2024-01-01,
600041,CSI300,2024-01-01,
600042,CSI300,2024-01-01,
600043,CSI300,2024-01-01,
600044,CSI300,2024-01-01,
600045,CSI300,2024-01-01,
600046,CSI300,2024-01-01,
600047,CSI300,2024-01-01,
600048,CSI300,2024-01-01,
600049,CSI300,2024-01-01,
600050,CSI300,2024-01-01,
600051,CSI300,2024-01-01,
600052,CSI300,2024-01-01,
600053,CSI300,2024-01-01,
600054,CSI300,2024-01-01,
600055,CSI300,2024-01-01,
600056,CSI300,2024-01-01,
600057,CSI300,2024-01-01,
600058,CSI300,2024-01-01,
600059,CSI300,2024-01-01,
600060,CSI300,2024-01-01,
600061,CSI300,2024-01-01,
600062,CSI300,2024-01-01,
600063,CSI300,2024-01-01,
600064,CSI300,2024-01-01,
600065,CSI300,2024-01-01,
600066,CSI300,2024-01-01,
600067,CSI300,2024-01-01,
600068,CSI300,2024-01-01,
600069,CSI300,2024-01-01,
600070,CSI300,2024-01-01,
600071,CSI300,2024-01-01,
600072,CSI300,2024-01-01,
600073,CSI300,2024-01-01,
600074,CSI300,2024-01-01,
600075,CSI300,2024-01-01,
600076,CSI300,2024-01-01,
600077,CSI300,2024-01-01,
600078,CSI300,2024-01-01,
600079,CSI300,2024-01-01,
600080,CSI300,2024-01-01,
600081,CSI300,2024-01-01,
600082,CSI300,2024-01-01,
600083,CSI300,2024-01-01,
600084,CSI300,2024-01-01,
600085,CSI300,2024-01-01,
600086,CSI300,2024-01-01,
600087,CSI300,2024-01-01,
600088,CSI300,2024-01-01,
600089,CSI300,2024-01-01,
600090,CSI300,2024-01-01,
600091,CSI300,2024-01-01,
600092,CSI300,2024-01-01,
600093,CSI300,2024-01-01,
600094,CSI300,2024-01-01,
600095,CSI300,2024-01-01,
600096,CSI300,2024-01-01,
600097,CSI300,2024-01-01,
600098,CSI300,2024-01-01,
600099,CSI300,2024-01-01,
600100,CSI300,2024-01-01,
600101,CSI300,2024-01-01,
600102,CSI300,2024-01-01,
600103,CSI300,2024-01-01,
600104,CSI300,2024-01-01,
600105,CSI300,2024-01-01,
600106,CSI300,2024-01-01,
600107,CSI300,2024-01-01,
600108,CSI300,2024-01-01,
600109,CSI300,2024-01-01,
600110,CSI300,2024-01-01,
600111,CSI300,2024-01-01,
600112,CSI300,2024-01-01,
600113,CSI300,2024-01-01,
600114,CSI300,2024-01-01,
600115,CSI300,2024-01-01,
600116,CSI300,2024-01-01,
600117,CSI300,2024-01-01,
600118,CSI300,2024-01-01,
600119,CSI300,2024-01-01,
